0 1	Selina Keagon gave birth to Cornelius Tuayan Keagon at Monrovia on 06 July 1996 .
5 7	Selina Keagon gave birth to Cornelius Tuayan Keagon at Monrovia on 06 July 1996 .
9 9	Selina Keagon gave birth to Cornelius Tuayan Keagon at Monrovia on 06 July 1996 .
11 13	Selina Keagon gave birth to Cornelius Tuayan Keagon at Monrovia on 06 July 1996 .
0 1	Ann Astaire gave birth to Frederick Austerlit at Omaha on 10 May 1899 .
5 6	Ann Astaire gave birth to Frederick Austerlit at Omaha on 10 May 1899 .
8 8	Ann Astaire gave birth to Frederick Austerlit at Omaha on 10 May 1899 .
10 12	Ann Astaire gave birth to Frederick Austerlit at Omaha on 10 May 1899 .
0 1	Judy Murray gave birth to Andrew Barron Murray at Glasgow on 15 May 1987 .
5 7	Judy Murray gave birth to Andrew Barron Murray at Glasgow on 15 May 1987 .
9 9	Judy Murray gave birth to Andrew Barron Murray at Glasgow on 15 May 1987 .
11 13	Judy Murray gave birth to Andrew Barron Murray at Glasgow on 15 May 1987 .
0 4	Victoria Herbert, Countess of Pembroke gave birth to The Honourable Louis Charles Alexander Herbert at Salisbury District Hospital on 20 September 2014 .
8 13	Victoria Herbert, Countess of Pembroke gave birth to The Honourable Louis Charles Alexander Herbert at Salisbury District Hospital on 20 September 2014 .
15 17	Victoria Herbert, Countess of Pembroke gave birth to The Honourable Louis Charles Alexander Herbert at Salisbury District Hospital on 20 September 2014 .
19 21	Victoria Herbert, Countess of Pembroke gave birth to The Honourable Louis Charles Alexander Herbert at Salisbury District Hospital on 20 September 2014 .
0 1	Elizabeth Inglis gave birth to Susan Alexandra Weaver at New York City on 08 October 1949 .
5 7	Elizabeth Inglis gave birth to Susan Alexandra Weaver at New York City on 08 October 1949 .
9 11	Elizabeth Inglis gave birth to Susan Alexandra Weaver at New York City on 08 October 1949 .
13 15	Elizabeth Inglis gave birth to Susan Alexandra Weaver at New York City on 08 October 1949 .
0 1	Sarah Rinehart gave birth to Elias Lafayette Rinehart at Mississippi on 01 January 1836 .
5 7	Sarah Rinehart gave birth to Elias Lafayette Rinehart at Mississippi on 01 January 1836 .
9 9	Sarah Rinehart gave birth to Elias Lafayette Rinehart at Mississippi on 01 January 1836 .
11 13	Sarah Rinehart gave birth to Elias Lafayette Rinehart at Mississippi on 01 January 1836 .
0 1	Camilla Thorp gave birth to Lady Olympia Arabella Kitty Spencer-Churchill at Portland Hospital on 10 September 2020 .
5 9	Camilla Thorp gave birth to Lady Olympia Arabella Kitty Spencer-Churchill at Portland Hospital on 10 September 2020 .
11 12	Camilla Thorp gave birth to Lady Olympia Arabella Kitty Spencer-Churchill at Portland Hospital on 10 September 2020 .
14 16	Camilla Thorp gave birth to Lady Olympia Arabella Kitty Spencer-Churchill at Portland Hospital on 10 September 2020 .
0 2	Frances Emily Stewart gave birth to George Evelyn Augustus Townley Sothern at Kensington on 01 January 1866 .
6 10	Frances Emily Stewart gave birth to George Evelyn Augustus Townley Sothern at Kensington on 01 January 1866 .
12 12	Frances Emily Stewart gave birth to George Evelyn Augustus Townley Sothern at Kensington on 01 January 1866 .
14 16	Frances Emily Stewart gave birth to George Evelyn Augustus Townley Sothern at Kensington on 01 January 1866 .
0 2	Caroline Wolcott Andrews gave birth to Richard Buckminster Fuller at Milton on 12 July 1895 .
6 8	Caroline Wolcott Andrews gave birth to Richard Buckminster Fuller at Milton on 12 July 1895 .
10 10	Caroline Wolcott Andrews gave birth to Richard Buckminster Fuller at Milton on 12 July 1895 .
12 14	Caroline Wolcott Andrews gave birth to Richard Buckminster Fuller at Milton on 12 July 1895 .
0 2	Pauline Alice Evans gave birth to Farrah Leni Fawcett at Corpus Christi on 02 February 1947 .
6 8	Pauline Alice Evans gave birth to Farrah Leni Fawcett at Corpus Christi on 02 February 1947 .
10 11	Pauline Alice Evans gave birth to Farrah Leni Fawcett at Corpus Christi on 02 February 1947 .
13 15	Pauline Alice Evans gave birth to Farrah Leni Fawcett at Corpus Christi on 02 February 1947 .
0 1	Janet Ross gave birth to Donald McLennan at Inverness on 26 October 1833 .
5 6	Janet Ross gave birth to Donald McLennan at Inverness on 26 October 1833 .
8 8	Janet Ross gave birth to Donald McLennan at Inverness on 26 October 1833 .
10 12	Janet Ross gave birth to Donald McLennan at Inverness on 26 October 1833 .
0 2	Elizabeth Ruth Stewart gave birth to James Maitland Stewart at Indiana County on 20 May 1908 .
6 8	Elizabeth Ruth Stewart gave birth to James Maitland Stewart at Indiana County on 20 May 1908 .
10 11	Elizabeth Ruth Stewart gave birth to James Maitland Stewart at Indiana County on 20 May 1908 .
13 15	Elizabeth Ruth Stewart gave birth to James Maitland Stewart at Indiana County on 20 May 1908 .
0 2	Roxana Foote Beecher gave birth to Elizabeth Harriet Beecher at Litchfield on 14 June 1811 .
6 8	Roxana Foote Beecher gave birth to Elizabeth Harriet Beecher at Litchfield on 14 June 1811 .
10 10	Roxana Foote Beecher gave birth to Elizabeth Harriet Beecher at Litchfield on 14 June 1811 .
12 14	Roxana Foote Beecher gave birth to Elizabeth Harriet Beecher at Litchfield on 14 June 1811 .
0 2	Janet Grace Schultz gave birth to Bruce Peter Reimer at Winnipeg on 22 August 1965 .
6 8	Janet Grace Schultz gave birth to Bruce Peter Reimer at Winnipeg on 22 August 1965 .
